date,order_id,channel,region,category,device,revenue_usd,profit_usd,discount_pct,sessions_allocated,marketing_spend_allocated,month
2025-01-01,100024,Organic Search,NEA,Home & Deco,Mobile,78.7,18.65,10,23.235294117647058,0.0,2025-01
2025-01-01,100025,Organic Search,Cuyo,Home & Deco,Mobile,92.59,35.23,0,23.235294117647058,0.0,2025-01
2025-01-01,100026,Organic Search,Buenos Aires,Electronics,Mobile,190.05,65.12,5,23.235294117647058,0.0,2025-01
2025-01-01,100027,Organic Search,Buenos Aires,Fashion,Mobile,40.0,10.91,10,23.235294117647058,0.0,2025-01
2025-01-01,100028,Organic Search,NEA,Electronics,Mobile,149.07,59.91,0,23.235294117647058,0.0,2025-01
2025-01-01,100029,Organic Search,NOA,Home & Deco,Mobile,81.8,19.47,5,23.235294117647058,0.0,2025-01
2025-01-01,100030,Organic Search,Buenos Aires,Supermarket,Desktop,41.72,10.9,10,23.235294117647058,0.0,2025-01
2025-01-01,100031,Organic Search,Buenos Aires,Beauty,Desktop,39.88,7.98,10,23.235294117647058,0.0,2025-01
2025-01-01,100032,Organic Search,Buenos Aires,Supermarket,Mobile,38.74,7.92,0,23.235294117647058,0.0,2025-01
2025-01-01,100033,Organic Search,Cuyo,Electronics,Mobile,171.37,40.07,10,23.235294117647058,0.0,2025-01
2025-01-01,100034,Organic Search,Cuyo,Electronics,Mobile,134.17,45.07,10,23.235294117647058,0.0,2025-01
2025-01-01,100035,Organic Search,NOA,Beauty,Mobile,39.73,9.48,0,23.235294117647058,0.0,2025-01
2025-01-01,100036,Organic Search,NEA,Home & Deco,Desktop,61.56,22.82,10,23.235294117647058,0.0,2025-01
2025-01-01,100037,Organic Search,Centro,Fashion,Mobile,65.98,12.26,0,23.235294117647058,0.0,2025-01
2025-01-01,100038,Organic Search,Cuyo,Electronics,Desktop,87.63,35.02,20,23.235294117647058,0.0,2025-01
2025-01-01,100039,Organic Search,Buenos Aires,Electronics,Desktop,119.24,45.88,20,23.235294117647058,0.0,2025-01
2025-01-01,100040,Organic Search,Buenos Aires,Home & Deco,Desktop,80.69,17.81,0,23.235294117647058,0.0,2025-01
2025-01-01,100041,Organic Search,Centro,Supermarket,Desktop,27.55,11.51,5,23.235294117647058,0.0,2025-01
2025-01-01,100042,Organic Search,Buenos Aires,Fashion,Desktop,53.97,18.74,10,23.235294117647058,0.0,2025-01
2025-01-01,100043,Organic Search,Cuyo,Home & Deco,Mobile,77.6,30.98,15,23.235294117647058,0.0,2025-01
2025-01-01,100044,Organic Search,Centro,Fashion,Desktop,58.1,20.25,10,23.235294117647058,0.0,2025-01
2025-01-01,100045,Organic Search,Patagonia,Supermarket,Mobile,28.39,5.35,5,23.235294117647058,0.0,2025-01
2025-01-01,100046,Organic Search,Centro,Fashion,Mobile,52.23,9.78,5,23.235294117647058,0.0,2025-01
2025-01-01,100047,Organic Search,Buenos Aires,Sports,Mobile,67.54,15.66,10,23.235294117647058,0.0,2025-01
2025-01-01,100048,Organic Search,Cuyo,Electronics,Mobile,97.84,30.31,5,23.235294117647058,0.0,2025-01
2025-01-01,100049,Organic Search,Cuyo,Beauty,Tablet,20.96,5.13,10,23.235294117647058,0.0,2025-01
2025-01-01,100050,Organic Search,Centro,Electronics,Mobile,112.43,42.79,20,23.235294117647058,0.0,2025-01
2025-01-01,100051,Organic Search,Cuyo,Home & Deco,Mobile,69.76,24.52,5,23.235294117647058,0.0,2025-01
2025-01-01,100052,Organic Search,Cuyo,Home & Deco,Tablet,63.19,19.78,10,23.235294117647058,0.0,2025-01
2025-01-01,100053,Organic Search,Cuyo,Home & Deco,Mobile,104.86,21.79,0,23.235294117647058,0.0,2025-01
2025-01-01,100054,Organic Search,Buenos Aires,Electronics,Desktop,102.58,30.14,10,23.235294117647058,0.0,2025-01
2025-01-01,100055,Organic Search,Buenos Aires,Fashion,Mobile,54.78,17.96,0,23.235294117647058,0.0,2025-01
2025-01-01,100056,Organic Search,Cuyo,Electronics,Mobile,88.15,26.51,10,23.235294117647058,0.0,2025-01
2025-01-01,100057,Organic Search,NOA,Beauty,Mobile,43.84,14.05,0,23.235294117647058,0.0,2025-01
2025-01-01,100058,Organic Search,NEA,Fashion,Mobile,45.31,13.14,10,23.235294117647058,0.0,2025-01
2025-01-01,100059,Organic Search,Centro,Supermarket,Mobile,38.23,9.81,0,23.235294117647058,0.0,2025-01
2025-01-01,100060,Organic Search,NOA,Electronics,Desktop,116.51,24.28,0,23.235294117647058,0.0,2025-01
2025-01-01,100061,Organic Search,Cuyo,Beauty,Desktop,49.51,11.02,0,23.235294117647058,0.0,2025-01
2025-01-01,100062,Organic Search,Patagonia,Sports,Tablet,84.25,22.69,0,23.235294117647058,0.0,2025-01
2025-01-01,100063,Organic Search,Patagonia,Home & Deco,Desktop,70.27,25.37,10,23.235294117647058,0.0,2025-01
2025-01-01,100064,Organic Search,Buenos Aires,Supermarket,Mobile,38.0,9.76,15,23.235294117647058,0.0,2025-01
2025-01-01,100065,Organic Search,NOA,Home & Deco,Mobile,70.28,22.32,20,23.235294117647058,0.0,2025-01
2025-01-01,100066,Organic Search,Cuyo,Fashion,Mobile,56.34,19.23,0,23.235294117647058,0.0,2025-01
2025-01-01,100067,Organic Search,Patagonia,Sports,Desktop,73.8,23.02,0,23.235294117647058,0.0,2025-01
2025-01-01,100068,Paid Search,Cuyo,Electronics,Mobile,97.52,19.26,10,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100069,Paid Search,Patagonia,Beauty,Mobile,24.33,9.91,15,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100070,Paid Search,NEA,Sports,Mobile,51.09,18.72,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100071,Paid Search,Centro,Fashion,Desktop,57.76,16.89,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100072,Paid Search,Buenos Aires,Electronics,Mobile,94.7,34.0,10,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100073,Paid Search,Centro,Supermarket,Mobile,41.47,17.05,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100074,Paid Search,Buenos Aires,Supermarket,Mobile,27.9,8.56,15,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100075,Paid Search,NEA,Electronics,Mobile,122.16,42.39,10,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100076,Paid Search,Centro,Beauty,Mobile,39.61,7.56,15,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100077,Paid Search,Buenos Aires,Supermarket,Desktop,53.34,12.01,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100078,Paid Search,Centro,Home & Deco,Mobile,67.42,27.9,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100079,Paid Search,NEA,Beauty,Mobile,45.7,10.01,10,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100080,Paid Search,NOA,Sports,Desktop,58.15,19.03,10,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100081,Paid Search,Centro,Supermarket,Desktop,36.27,7.84,20,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100082,Paid Search,Centro,Home & Deco,Tablet,62.51,23.83,15,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100083,Paid Search,Centro,Home & Deco,Mobile,73.89,30.05,10,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100084,Paid Search,NOA,Home & Deco,Mobile,82.85,33.88,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100085,Paid Search,Cuyo,Electronics,Mobile,89.44,30.51,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100086,Paid Search,Centro,Sports,Mobile,80.58,25.18,15,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100087,Paid Search,Centro,Supermarket,Mobile,37.0,8.55,10,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100088,Paid Search,Buenos Aires,Electronics,Mobile,166.87,45.74,5,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100089,Paid Search,Centro,Supermarket,Mobile,47.9,15.77,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100090,Paid Search,NOA,Supermarket,Mobile,31.1,9.27,15,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100091,Paid Search,Buenos Aires,Fashion,Tablet,28.46,6.76,10,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100092,Paid Search,Buenos Aires,Electronics,Mobile,132.35,28.23,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100093,Paid Search,Cuyo,Electronics,Mobile,119.82,26.52,10,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100094,Paid Search,Buenos Aires,Electronics,Mobile,163.37,36.35,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100095,Paid Search,Buenos Aires,Electronics,Mobile,112.63,38.94,5,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100096,Paid Search,Buenos Aires,Sports,Mobile,54.5,21.24,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100097,Paid Search,NEA,Electronics,Mobile,153.24,35.28,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100098,Paid Search,Buenos Aires,Fashion,Mobile,67.67,19.69,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100099,Paid Search,Patagonia,Electronics,Mobile,144.52,44.47,5,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100100,Paid Search,Buenos Aires,Fashion,Mobile,61.97,15.16,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100101,Paid Search,Buenos Aires,Electronics,Mobile,115.8,45.59,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100102,Paid Search,Centro,Beauty,Desktop,30.41,6.11,5,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100103,Paid Search,Centro,Fashion,Desktop,44.76,11.96,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100104,Paid Search,Cuyo,Fashion,Mobile,44.46,14.47,20,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100105,Paid Search,Buenos Aires,Electronics,Mobile,115.68,28.74,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100106,Paid Search,Buenos Aires,Supermarket,Mobile,30.53,8.5,5,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100107,Paid Search,NEA,Electronics,Mobile,117.87,40.13,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100108,Paid Search,NEA,Fashion,Mobile,67.64,24.67,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100109,Paid Search,Buenos Aires,Home & Deco,Mobile,52.64,17.19,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100110,Paid Search,Buenos Aires,Fashion,Mobile,55.68,17.14,5,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100111,Paid Search,Buenos Aires,Home & Deco,Mobile,100.15,34.41,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100112,Paid Search,Patagonia,Fashion,Mobile,50.64,13.35,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100113,Paid Search,NEA,Sports,Tablet,64.03,14.31,20,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100114,Paid Search,Buenos Aires,Beauty,Mobile,30.96,6.61,15,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100115,Paid Search,Patagonia,Electronics,Mobile,132.04,40.34,10,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100116,Paid Search,Buenos Aires,Supermarket,Mobile,27.77,7.92,15,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100117,Paid Search,Buenos Aires,Fashion,Mobile,58.24,23.06,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100118,Paid Search,Buenos Aires,Fashion,Desktop,71.45,14.87,10,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100119,Paid Search,NEA,Beauty,Mobile,40.61,12.51,10,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100120,Paid Search,NOA,Sports,Mobile,67.24,16.11,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100121,Paid Search,Patagonia,Electronics,Mobile,149.23,56.27,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100122,Paid Search,Buenos Aires,Sports,Mobile,79.43,29.5,0,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100123,Paid Search,Buenos Aires,Electronics,Desktop,144.74,44.91,10,22.446428571428573,14.70857234345337,2025-01
2025-01-01,100124,Paid Social,Centro,Supermarket,Mobile,44.4,13.38,5,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100125,Paid Social,Cuyo,Electronics,Desktop,124.42,49.94,10,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100126,Paid Social,Cuyo,Electronics,Mobile,148.73,41.91,5,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100127,Paid Social,Patagonia,Supermarket,Desktop,22.53,8.59,20,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100128,Paid Social,Buenos Aires,Supermarket,Desktop,33.25,10.7,5,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100129,Paid Social,Buenos Aires,Electronics,Mobile,99.69,39.95,5,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100130,Paid Social,Buenos Aires,Home & Deco,Desktop,49.54,11.59,5,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100131,Paid Social,Centro,Electronics,Mobile,46.67,12.46,15,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100132,Paid Social,Centro,Beauty,Mobile,37.35,8.32,10,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100133,Paid Social,NEA,Electronics,Mobile,211.43,76.11,0,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100134,Paid Social,Buenos Aires,Supermarket,Mobile,36.47,6.88,0,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100135,Paid Social,Centro,Fashion,Mobile,52.01,14.86,5,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100136,Paid Social,Centro,Fashion,Mobile,77.19,29.86,0,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100137,Paid Social,NEA,Home & Deco,Mobile,61.97,13.48,0,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100138,Paid Social,Cuyo,Beauty,Mobile,58.19,13.7,0,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100139,Paid Social,Cuyo,Electronics,Mobile,107.48,25.49,10,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100140,Paid Social,Buenos Aires,Home & Deco,Desktop,77.2,29.28,15,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100141,Paid Social,Buenos Aires,Beauty,Mobile,47.48,9.52,0,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100142,Paid Social,Buenos Aires,Electronics,Mobile,119.52,33.6,5,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100143,Paid Social,NOA,Sports,Mobile,59.41,14.52,5,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100144,Paid Social,Cuyo,Home & Deco,Mobile,53.76,13.48,5,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100145,Paid Social,NEA,Sports,Mobile,62.38,23.2,15,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100146,Paid Social,Centro,Electronics,Mobile,159.38,52.92,5,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100147,Paid Social,Buenos Aires,Electronics,Desktop,135.55,33.26,0,39.083333333333336,26.923460542521696,2025-01
2025-01-01,100148,Email,Cuyo,Sports,Mobile,79.66,16.96,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100149,Email,NOA,Supermarket,Mobile,49.19,19.65,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100150,Email,Centro,Home & Deco,Mobile,100.3,22.06,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100151,Email,Patagonia,Electronics,Mobile,116.84,31.0,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100152,Email,Cuyo,Home & Deco,Mobile,53.79,18.25,5,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100153,Email,NEA,Beauty,Mobile,34.85,11.26,5,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100154,Email,Buenos Aires,Sports,Mobile,75.99,26.96,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100155,Email,Centro,Beauty,Mobile,43.69,15.15,10,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100156,Email,Buenos Aires,Fashion,Mobile,50.82,20.34,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100157,Email,Buenos Aires,Supermarket,Mobile,31.8,11.31,15,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100158,Email,Patagonia,Beauty,Desktop,25.21,6.05,15,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100159,Email,Centro,Electronics,Tablet,147.76,46.74,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100160,Email,NOA,Electronics,Desktop,141.17,56.73,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100161,Email,NEA,Supermarket,Mobile,36.22,13.73,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100162,Email,Buenos Aires,Fashion,Mobile,58.38,11.59,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100163,Email,Cuyo,Home & Deco,Desktop,74.7,27.62,5,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100164,Email,Buenos Aires,Beauty,Desktop,36.04,8.5,5,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100165,Email,Buenos Aires,Supermarket,Mobile,29.32,10.9,20,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100166,Email,NEA,Home & Deco,Desktop,101.22,29.88,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100167,Email,Cuyo,Supermarket,Tablet,32.47,11.59,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100168,Email,Buenos Aires,Electronics,Mobile,178.17,44.74,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100169,Email,Buenos Aires,Electronics,Mobile,133.97,45.97,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100170,Email,Buenos Aires,Supermarket,Desktop,37.85,10.61,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100171,Email,NOA,Supermarket,Mobile,21.69,5.11,20,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100172,Email,NEA,Beauty,Mobile,43.26,10.18,5,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100173,Email,Buenos Aires,Electronics,Mobile,116.07,47.89,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100174,Email,NOA,Supermarket,Tablet,45.42,12.49,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100175,Email,Patagonia,Beauty,Mobile,36.9,11.4,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100176,Email,Centro,Fashion,Mobile,56.16,13.69,15,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100177,Email,Buenos Aires,Supermarket,Tablet,34.44,10.75,10,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100178,Email,Buenos Aires,Home & Deco,Mobile,88.03,31.13,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100179,Email,Centro,Electronics,Mobile,101.68,30.39,15,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100180,Email,Centro,Fashion,Desktop,60.86,20.86,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100181,Email,Centro,Home & Deco,Desktop,78.76,30.57,15,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100182,Email,Cuyo,Sports,Desktop,82.84,27.21,10,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100183,Email,Patagonia,Electronics,Desktop,130.04,46.61,0,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100184,Email,Buenos Aires,Sports,Desktop,72.57,13.17,5,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100185,Email,Buenos Aires,Fashion,Tablet,36.58,11.33,10,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100186,Email,Patagonia,Electronics,Desktop,149.31,61.38,5,16.333333333333332,0.7138117635612182,2025-01
2025-01-01,100187,Referral,Buenos Aires,Home & Deco,Desktop,84.4,27.77,0,30.0,3.038194300141464,2025-01
2025-01-01,100188,Referral,Buenos Aires,Supermarket,Tablet,24.36,8.77,20,30.0,3.038194300141464,2025-01
2025-01-01,100189,Referral,Buenos Aires,Sports,Mobile,89.54,25.7,10,30.0,3.038194300141464,2025-01
2025-01-01,100190,Referral,Buenos Aires,Supermarket,Mobile,33.71,7.39,5,30.0,3.038194300141464,2025-01
2025-01-01,100191,Referral,Patagonia,Beauty,Mobile,39.83,9.78,10,30.0,3.038194300141464,2025-01
2025-01-01,100192,Referral,NEA,Electronics,Mobile,94.6,26.56,20,30.0,3.038194300141464,2025-01
2025-01-01,100193,Referral,Cuyo,Home & Deco,Mobile,69.0,16.23,15,30.0,3.038194300141464,2025-01
2025-01-01,100194,Referral,Buenos Aires,Electronics,Mobile,142.23,55.11,0,30.0,3.038194300141464,2025-01
2025-01-01,100195,Referral,Centro,Supermarket,Mobile,34.84,13.34,10,30.0,3.038194300141464,2025-01
2025-01-01,100196,Referral,Patagonia,Beauty,Mobile,46.22,18.53,0,30.0,3.038194300141464,2025-01
2025-01-01,100197,Referral,Cuyo,Sports,Mobile,62.99,18.77,0,30.0,3.038194300141464,2025-01
2025-01-01,100198,Referral,Buenos Aires,Fashion,Mobile,72.88,18.55,10,30.0,3.038194300141464,2025-01
2025-01-01,100199,Referral,Centro,Electronics,Mobile,115.49,28.87,5,30.0,3.038194300141464,2025-01
2025-01-01,100200,Referral,Cuyo,Sports,Desktop,34.54,10.2,0,30.0,3.038194300141464,2025-01
2025-01-01,100201,Referral,Buenos Aires,Home & Deco,Tablet,77.84,27.13,5,30.0,3.038194300141464,2025-01
2025-01-01,100202,Referral,Centro,Electronics,Mobile,95.57,19.22,5,30.0,3.038194300141464,2025-01
2025-01-01,100203,Direct,Cuyo,Sports,Mobile,96.78,39.17,0,26.7,0.0,2025-01
2025-01-01,100204,Direct,Buenos Aires,Fashion,Desktop,59.33,20.85,15,26.7,0.0,2025-01
2025-01-01,100205,Direct,Patagonia,Home & Deco,Desktop,100.48,33.61,5,26.7,0.0,2025-01
2025-01-01,100206,Direct,Centro,Beauty,Mobile,43.83,10.49,0,26.7,0.0,2025-01
2025-01-01,100207,Direct,Buenos Aires,Supermarket,Mobile,36.13,10.82,10,26.7,0.0,2025-01
2025-01-01,100208,Direct,Centro,Beauty,Mobile,29.36,12.15,20,26.7,0.0,2025-01
2025-01-01,100209,Direct,Cuyo,Electronics,Desktop,108.25,38.38,15,26.7,0.0,2025-01
2025-01-01,100210,Direct,Patagonia,Fashion,Mobile,36.71,15.31,0,26.7,0.0,2025-01
2025-01-01,100211,Direct,Buenos Aires,Sports,Mobile,96.34,37.54,5,26.7,0.0,2025-01
2025-01-01,100212,Direct,NOA,Fashion,Mobile,49.54,19.76,5,26.7,0.0,2025-01
2025-01-01,100213,Direct,Buenos Aires,Beauty,Mobile,32.6,12.98,10,26.7,0.0,2025-01
2025-01-01,100214,Direct,Buenos Aires,Electronics,Tablet,146.76,56.51,0,26.7,0.0,2025-01
2025-01-01,100215,Direct,Centro,Home & Deco,Desktop,95.92,30.92,0,26.7,0.0,2025-01
2025-01-01,100216,Direct,Buenos Aires,Home & Deco,Tablet,30.61,10.34,0,26.7,0.0,2025-01
2025-01-01,100217,Direct,Buenos Aires,Sports,Mobile,73.24,14.47,0,26.7,0.0,2025-01
2025-01-01,100218,Direct,Buenos Aires,Fashion,Mobile,54.47,15.44,15,26.7,0.0,2025-01
2025-01-01,100219,Direct,Buenos Aires,Fashion,Desktop,53.55,19.1,0,26.7,0.0,2025-01
2025-01-01,100220,Direct,Cuyo,Fashion,Desktop,45.51,14.59,15,26.7,0.0,2025-01
2025-01-01,100221,Direct,NOA,Electronics,Mobile,126.23,51.1,5,26.7,0.0,2025-01
2025-01-01,100222,Direct,Buenos Aires,Electronics,Mobile,107.12,27.41,20,26.7,0.0,2025-01
2025-01-02,100223,Organic Search,NOA,Fashion,Mobile,55.21,18.77,5,20.338983050847457,0.0,2025-01
2025-01-02,100224,Organic Search,Buenos Aires,Electronics,Mobile,96.41,39.8,10,20.338983050847457,0.0,2025-01
2025-01-02,100225,Organic Search,Buenos Aires,Beauty,Mobile,40.76,9.07,15,20.338983050847457,0.0,2025-01
2025-01-02,100226,Organic Search,Cuyo,Sports,Desktop,69.82,27.13,5,20.338983050847457,0.0,2025-01
2025-01-02,100227,Organic Search,Centro,Electronics,Desktop,175.05,59.93,10,20.338983050847457,0.0,2025-01
2025-01-02,100228,Organic Search,Buenos Aires,Beauty,Mobile,31.38,13.18,10,20.338983050847457,0.0,2025-01
